trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.28218482410573914, 'e': 0.4566097477439145}",25,1,-62.291037082110265,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 1}",1
80,False,"{'a': 0.2793629758646818, 'e': 0.45204365026647536}",20,3,7.52551140475766,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.27656934610603495, 'e': 0.4475232137638106}",20,2,-53.241720232207896,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 0}",1
82,False,"{'a': 0.2738036526449746, 'e': 0.4430479816261725}",20,12,2.5669496829002147,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.27106561611852487, 'e': 0.43861750180991077}",20,11,-8.252515223270342,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.2683549599573396, 'e': 0.43423132679181164}",25,14,-0.06160699313873952,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.2656714103577662, 'e': 0.4298890135238935}",20,12,16.172179996106514,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.26301469625418855, 'e': 0.4255901233886546}",20,12,-11.771871991743417,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.2603845492916466, 'e': 0.421334222154768}",25,0,-3.2775608453228506,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.25778070379873014, 'e': 0.41712087993322033}",20,9,-13.750034833965767,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.25520289676074287, 'e': 0.41294967113388814}",30,16,23.43578622878827,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.25265086779313545, 'e': 0.40882017442254925}",25,0,-17.094751580388966,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
91,False,"{'a': 0.2501243591152041, 'e': 0.4047319726783238}",25,16,17.086643662939256,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.24762311552405206, 'e': 0.40068465295154054}",20,13,-1.035945245340054,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.24514688436881152, 'e': 0.3966778064220251}",25,10,5.059149203661044,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.2426954155251234, 'e': 0.39271102835780486}",20,14,0.12958585955996327,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.24026846136987215, 'e': 0.3887839180742268}",25,0,-23.17185408690543,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.23786577675617343, 'e': 0.38489607889348454}",20,0,20.78950156708717,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.2354871189886117, 'e': 0.38104711810454966}",25,13,7.430284625601055,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.23313224779872557, 'e': 0.37723664692350417}",20,0,4.801745564325289,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
99,False,"{'a': 0.23080092532073834, 'e': 0.37346428045426916}",25,6,-29.065973352000942,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
100,False,"{'a': 0.22849291606753094, 'e': 0.36972963764972644}",25,16,-9.448347862764697,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.22620798690685565, 'e': 0.3660323412732292}",25,14,20.48746371242091,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.22394590703778708, 'e': 0.3623720178604969}",20,0,-11.51113042640563,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
103,False,"{'a': 0.2217064479674092, 'e': 0.3587482976818919}",20,6,8.060929437627749,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.2194893834877351, 'e': 0.355160814705073}",20,6,26.082148493129193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.21729448965285775, 'e': 0.35160920655802225}",20,0,-59.04791032917563,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
106,False,"{'a': 0.21512154475632916, 'e': 0.348093114492442}",20,14,12.463586481554112,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.21297032930876586, 'e': 0.3446121833475176}",20,11,3.543448408966383,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.21084062601567824, 'e': 0.34116606151404244}",30,17,13.391293812626476,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.20873221975552145, 'e': 0.337754400898902}",20,14,3.643478363995433,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.20664489755796622, 'e': 0.334376856889913}",25,11,4.280792279204558,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.20457844858238655, 'e': 0.33103308832101386}",35,21,-31.165334795168143,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.2025326640965627, 'e': 0.3277227574378037}",25,14,-33.073887011064926,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.20050733745559707, 'e': 0.3244455298634257}",20,3,-11.355519479147457,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.1985022640810411, 'e': 0.3212010745647914}",25,6,-36.65139981799879,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.19651724144023067, 'e': 0.3179890638191435}",25,0,-39.116861479993794,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
116,False,"{'a': 0.19455206902582836, 'e': 0.31480917318095203}",20,6,7.043850409317971,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.19260654833557006, 'e': 0.3116610814491425}",20,12,-81.97034981259128,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
118,False,"{'a': 0.19068048285221437, 'e': 0.30854447063465107}",20,2,3.8533044935391247,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.18877367802369224, 'e': 0.3054590259283046}",20,15,8.344328752919118,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1868859412434553, 'e': 0.30240443566902153}",25,16,-1.5372430147198823,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.18501708183102075, 'e': 0.2993803913123313}",20,3,-13.619976604879811,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.18316691101271054, 'e': 0.296386587399208}",20,16,8.022862558321386,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.18133524190258343, 'e': 0.2934227215252159}",20,13,2.7919549932221006,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.1795218894835576, 'e': 0.29048849430996376}",25,2,-20.888302583703588,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.17772667058872202, 'e': 0.2875836093668641}",25,17,15.036165257560599,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.17594940388283478, 'e': 0.28470777327319546}",25,2,-0.018376772322918455,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.17418990984400645, 'e': 0.2818606955404635}",20,3,10.862071934895507,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.17244801074556637, 'e': 0.27904208858505886}",20,0,27.03711725708166,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.17072353063811072, 'e': 0.2762516676992083}",20,7,21.3374751637347,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.16901629533172963, 'e': 0.2734891510222162}",30,20,-23.643107827100497,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.16732613237841232, 'e': 0.27075425951199406}",20,16,9.425448817291798,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1656528710546282, 'e': 0.2680467169168741}",25,2,-6.239642908402775,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
