trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.5, 'e': 0.16659725114535728}",20,11,17.436299202400516,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.16524555489457454}",20,3,-6.086298138851645,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.16391024275107072}",25,11,23.29845959419678,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.16259105098855484}",30,11,21.43646567810047,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.1612877211657889}",20,13,-8.00221931228862,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.16000000000000125}",35,20,26.968701853975265,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.1587276392438228}",20,0,7.242516345016203,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.1574703955656349}",30,24,10.942890680574894,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.15622803043322162}",25,4,38.067105601494255,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.1550003100006213}",25,17,18.61591302906638,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.15378700499807899}",20,13,15.560506981776314,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.1525878906250013}",25,11,-17.03502161073767,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.15140274644582186}",25,8,35.275599178879425,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.15023135628868592}",20,9,7.689099699738811,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.14907350814686857}",25,15,9.344499383124411,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.14792899408284158}",25,12,-16.022565392898137,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.14679761013490836}",25,4,26.18858416128797,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.14567915622632852}",20,0,7.556165893649013,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.1445734360768566}",25,13,13.6145055582783,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.14348025711662216}",20,0,37.345987266048354,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.1423994304022798}",30,19,21.118092441590804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.14133077053536236}",20,0,29.33087680563836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.14027409558277013}",35,16,-5.336217890565004,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.1392292269993331}",20,8,10.746081342076018,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.1381959895523846}",20,16,8.272107985465768,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.13717421124828674}",30,19,17.635599468766344,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13616372326085027}",20,10,9.07694388082587,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13516435986159314}",25,15,18.84560355951774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.13417595835178397}",35,21,-13.742496336641572,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.13319835899621862}",25,11,24.610243149053357,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.13223140495867913}",20,6,26.94125074693077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1312749422390269}",20,0,-31.608554724511528,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.13032881961188222}",30,7,34.45520174557506,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.12939288856684583}",20,0,15.676584918971102,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.12846700325021665}",30,16,27.733368122839888,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.12755102040816474}",20,9,21.576724213573737,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.12664479933131692}",30,19,1.0123291582527725,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.12574820180071572}",20,12,5.448511523491537,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
